p1,p2,s1,s2,score,top_score
DRDR,DRDR,2,1.5,3.5,3.5
DRDD,DRDR,2,1.47,3.4699999999999998,3.4699999999999998
DRRD,DRDR,2,1.53,3.5300000000000002,3.5300000000000002
DRRR,DRDR,2,1.575,3.575,3.575
DDRD,DRDR,2,1.482,3.482,3.482
DDRR,DRDR,2,1.491,3.491,3.491
DDDR,DRDR,2,1.467,3.467,3.467
DDDD,DRDR,2,1.545,3.545,3.545
RDRD,DRDR,2.464,1.551,4.015,4.015
RDRR,DRDR,2.563,1.506,4.069,4.069
RDDR,DRDR,2.506,1.596,4.102,4.102
RDDD,DRDR,2.506,1.521,4.026999999999999,4.026999999999999
RRDR,DRDR,2.746,1.536,4.282,4.282
RRDD,DRDR,2.67,1.482,4.152,4.152
RRRD,DRDR,2.951,1.479,4.43,4.43
RRRR,DRDR,2.984,1.437,4.421,4.421
DRDR,DRDD,2,1.557,3.557,3.557
DRDD,DRDD,2,1.413,3.4130000000000003,3.4130000000000003
DRRD,DRDD,2,1.542,3.542,3.542
DRRR,DRDD,2,1.458,3.458,3.458
DDRD,DRDD,2,1.464,3.464,3.464
DDRR,DRDD,2,1.491,3.491,3.491
DDDR,DRDD,2,1.578,3.5780000000000003,3.5780000000000003
DDDD,DRDD,2,1.506,3.5060000000000002,3.5060000000000002
RDRD,DRDD,2.479,1.602,4.081,4.081
RDRR,DRDD,2.479,1.512,3.991,3.991
RDDR,DRDD,2.467,1.431,3.898,3.898
RDDD,DRDD,2.437,1.485,3.9219999999999997,3.9219999999999997
RRDR,DRDD,2.705,1.455,4.16,4.16
RRDD,DRDD,2.721,1.548,4.269,4.269
RRRD,DRDD,2.941,1.515,4.4559999999999995,4.4559999999999995
RRRR,DRDD,2.98,1.431,4.411,4.411
DRDR,DRRD,2,1.458,3.458,3.458
DRDD,DRRD,2,1.455,3.455,3.455
DRRD,DRRD,2,1.467,3.467,3.467
DRRR,DRRD,2,1.413,3.4130000000000003,3.4130000000000003
DDRD,DRRD,2,1.491,3.491,3.491
DDRR,DRRD,2,1.44,3.44,3.44
DDDR,DRRD,2,1.521,3.521,3.521
DDDD,DRRD,2,1.539,3.5389999999999997,3.5389999999999997
RDRD,DRRD,2.428,1.593,4.021,4.021
RDRR,DRRD,2.479,1.527,4.006,4.006
RDDR,DRRD,2.557,1.422,3.979,3.979
RDDD,DRRD,2.509,1.488,3.997,3.997
RRDR,DRRD,2.626,1.566,4.192,4.192
RRDD,DRRD,2.746,1.56,4.306,4.306
RRRD,DRRD,2.891,1.446,4.337,4.337
RRRR,DRRD,3.081,1.527,4.608,4.608
DRDR,DRRR,2,1.518,3.518,3.518
DRDD,DRRR,2,1.491,3.491,3.491
DRRD,DRRR,2,1.458,3.458,3.458
DRRR,DRRR,2,1.497,3.497,3.497
DDRD,DRRR,2,1.518,3.518,3.518
DDRR,DRRR,2,1.491,3.491,3.491
DDDR,DRRR,2,1.533,3.533,3.533
DDDD,DRRR,2,1.47,3.4699999999999998,3.4699999999999998
RDRD,DRRR,2.458,1.464,3.922,3.922
RDRR,DRRR,2.524,1.536,4.0600000000000005,4.0600000000000005
RDDR,DRRR,2.536,1.443,3.979,3.979
RDDD,DRRR,2.479,1.512,3.991,3.991
RRDR,DRRR,2.728,1.587,4.315,4.315
RRDD,DRRR,2.746,1.536,4.282,4.282
RRRD,DRRR,2.795,1.44,4.234999999999999,4.234999999999999
RRRR,DRRR,2.93,1.455,4.385,4.385
DRDR,DDRD,2,1.434,3.434,3.434
DRDD,DDRD,2,1.503,3.503,3.503
DRRD,DDRD,2,1.476,3.476,3.476
DRRR,DDRD,2,1.497,3.497,3.497
DDRD,DDRD,2,1.548,3.548,3.548
DDRR,DDRD,2,1.506,3.5060000000000002,3.5060000000000002
DDDR,DDRD,2,1.404,3.404,3.404
DDDD,DDRD,2,1.542,3.542,3.542
RDRD,DDRD,2.551,1.497,4.048,4.048
RDRR,DDRD,2.503,1.551,4.054,4.054
RDDR,DDRD,2.422,1.437,3.859,3.859
RDDD,DDRD,2.557,1.464,4.021,4.021
RRDR,DDRD,2.757,1.602,4.359,4.359
RRDD,DDRD,2.737,1.497,4.234,4.234
RRRD,DDRD,2.919,1.494,4.413,4.413
RRRR,DDRD,2.894,1.533,4.427,4.427
DRDR,DDRR,2,1.503,3.503,3.503
DRDD,DDRR,2,1.545,3.545,3.545
DRRD,DDRR,2,1.407,3.407,3.407
DRRR,DDRR,2,1.539,3.5389999999999997,3.5389999999999997
DDRD,DDRR,2,1.596,3.596,3.596
DDRR,DDRR,2,1.569,3.569,3.569
DDDR,DDRR,2,1.485,3.4850000000000003,3.4850000000000003
DDDD,DDRR,2,1.494,3.4939999999999998,3.4939999999999998
RDRD,DDRR,2.503,1.491,3.994,3.994
RDRR,DDRR,2.494,1.503,3.997,3.997
RDDR,DDRR,2.587,1.566,4.1530000000000005,4.1530000000000005
RDDD,DDRR,2.467,1.467,3.934,3.934
RRDR,DDRR,2.801,1.509,4.3100000000000005,4.3100000000000005
RRDD,DDRR,2.685,1.602,4.287,4.287
RRRD,DDRR,2.763,1.476,4.239,4.239
RRRR,DDRR,2.973,1.476,4.449,4.449
DRDR,DDDR,2,1.458,3.458,3.458
DRDD,DDDR,2,1.509,3.509,3.509
DRRD,DDDR,2,1.512,3.512,3.512
DRRR,DDDR,2,1.5,3.5,3.5
DDRD,DDDR,2,1.506,3.5060000000000002,3.5060000000000002
DDRR,DDDR,2,1.467,3.467,3.467
DDDR,DDDR,2,1.476,3.476,3.476
DDDD,DDDR,2,1.491,3.491,3.491
RDRD,DDDR,2.428,1.467,3.895,3.895
RDRR,DDDR,2.515,1.515,4.03,4.03
RDDR,DDDR,2.428,1.521,3.949,3.949
RDDD,DDDR,2.5,1.572,4.072,4.072
RRDR,DDDR,2.644,1.443,4.087,4.087
RRDD,DDDR,2.744,1.509,4.253,4.253
RRRD,DDDR,2.993,1.527,4.52,4.52
RRRR,DDDR,2.905,1.488,4.393,4.393
DRDR,DDDD,2,1.524,3.524,3.524
DRDD,DDDD,2,1.413,3.4130000000000003,3.4130000000000003
DRRD,DDDD,2,1.47,3.4699999999999998,3.4699999999999998
DRRR,DDDD,2,1.545,3.545,3.545
DDRD,DDDD,2,1.476,3.476,3.476
DDRR,DDDD,2,1.434,3.434,3.434
DDDR,DDDD,2,1.524,3.524,3.524
DDDD,DDDD,2,1.44,3.44,3.44
RDRD,DDDD,2.53,1.47,4,4
RDRR,DDDD,2.443,1.488,3.931,3.931
RDDR,DDDD,2.488,1.53,4.018,4.018
RDDD,DDDD,2.494,1.53,4.024,4.024
RRDR,DDDD,2.787,1.488,4.275,4.275
RRDD,DDDD,2.75,1.446,4.196,4.196
RRRD,DDDD,2.802,1.518,4.32,4.32
RRRR,DDDD,3.066,1.404,4.47,4.47
DRDR,RDRD,2,1.774,3.774,3.774
DRDD,RDRD,2,1.706,3.706,3.706
DRRD,RDRD,2,1.741,3.741,3.741
DRRR,RDRD,2,1.698,3.698,3.698
DDRD,RDRD,2,1.792,3.792,3.792
DDRR,RDRD,2,1.828,3.8280000000000003,3.8280000000000003
DDDR,RDRD,2,1.714,3.714,3.714
DDDD,RDRD,2,1.597,3.597,3.597
RDRD,RDRD,2.524,1.871,4.395,4.395
RDRR,RDRD,2.443,1.682,4.125,4.125
RDDR,RDRD,2.476,1.705,4.181,4.181
RDDD,RDRD,2.497,1.821,4.318,4.318
RRDR,RDRD,2.8,1.809,4.609,4.609
RRDD,RDRD,2.83,1.744,4.574,4.574
RRRD,RDRD,2.861,1.847,4.708,4.708
RRRR,RDRD,2.938,1.647,4.585,4.585
DRDR,RDRR,2,1.773,3.7729999999999997,3.7729999999999997
DRDD,RDRR,2,1.681,3.681,3.681
DRRD,RDRR,2,1.714,3.714,3.714
DRRR,RDRR,2,1.738,3.738,3.738
DDRD,RDRR,2,1.736,3.7359999999999998,3.7359999999999998
DDRR,RDRR,2,1.756,3.7560000000000002,3.7560000000000002
DDDR,RDRR,2,1.823,3.823,3.823
DDDD,RDRR,2,1.799,3.799,3.799
RDRD,RDRR,2.476,1.729,4.205,4.205
RDRR,RDRR,2.443,1.767,4.21,4.21
RDDR,RDRR,2.542,1.852,4.394,4.394
RDDD,RDRR,2.512,1.747,4.259,4.259
RRDR,RDRR,2.77,1.841,4.611,4.611
RRDD,RDRR,2.82,1.774,4.593999999999999,4.593999999999999
RRRD,RDRR,2.831,1.712,4.543,4.543
RRRR,RDRR,2.934,1.65,4.584,4.584
DRDR,RDDR,2,1.713,3.713,3.713
DRDD,RDDR,2,1.731,3.731,3.731
DRRD,RDDR,2,1.836,3.8360000000000003,3.8360000000000003
DRRR,RDDR,2,1.743,3.7430000000000003,3.7430000000000003
DDRD,RDDR,2,1.664,3.6639999999999997,3.6639999999999997
DDRR,RDDR,2,1.791,3.791,3.791
DDDR,RDDR,2,1.807,3.807,3.807
DDDD,RDDR,2,1.677,3.677,3.677
RDRD,RDDR,2.527,1.743,4.2700000000000005,4.2700000000000005
RDRR,RDDR,2.44,1.799,4.239,4.239
RDDR,RDDR,2.476,1.7,4.176,4.176
RDDD,RDDR,2.557,1.885,4.442,4.442
RRDR,RDDR,2.746,1.667,4.413,4.413
RRDD,RDDR,2.762,1.68,4.442,4.442
RRRD,RDDR,2.806,1.75,4.556,4.556
RRRR,RDDR,2.809,1.842,4.651,4.651
DRDR,RDDD,2,1.71,3.71,3.71
DRDD,RDDD,2,1.719,3.7190000000000003,3.7190000000000003
DRRD,RDDD,2,1.738,3.738,3.738
DRRR,RDDD,2,1.837,3.8369999999999997,3.8369999999999997
DDRD,RDDD,2,1.761,3.761,3.761
DDRR,RDDD,2,1.69,3.69,3.69
DDDR,RDDD,2,1.712,3.7119999999999997,3.7119999999999997
DDDD,RDDD,2,1.792,3.792,3.792
RDRD,RDDD,2.497,1.652,4.149,4.149
RDRR,RDDD,2.587,1.686,4.273,4.273
RDDR,RDDD,2.536,1.744,4.28,4.28
RDDD,RDDD,2.437,1.734,4.170999999999999,4.170999999999999
RRDR,RDDD,2.816,1.744,4.56,4.56
RRDD,RDDD,2.618,1.903,4.521,4.521
RRRD,RDDD,2.728,1.876,4.604,4.604
RRRR,RDDD,3.029,1.872,4.901,4.901
DRDR,RRDR,2,1.822,3.822,3.822
DRDD,RRDR,2,1.92,3.92,3.92
DRRD,RRDR,2,1.852,3.8520000000000003,3.8520000000000003
DRRR,RRDR,2,1.91,3.91,3.91
DDRD,RRDR,2,1.881,3.8810000000000002,3.8810000000000002
DDRR,RRDR,2,1.663,3.6630000000000003,3.6630000000000003
DDDR,RRDR,2,1.95,3.95,3.95
DDDD,RRDR,2,1.821,3.8209999999999997,3.8209999999999997
RDRD,RRDR,2.518,1.897,4.415,4.415
RDRR,RRDR,2.524,1.93,4.454,4.454
RDDR,RRDR,2.488,1.824,4.312,4.312
RDDD,RRDR,2.44,1.811,4.2509999999999994,4.2509999999999994
RRDR,RRDR,2.804,1.803,4.606999999999999,4.606999999999999
RRDD,RRDR,2.823,1.913,4.736,4.736
RRRD,RRDR,2.881,1.83,4.711,4.711
RRRR,RRDR,2.814,1.926,4.74,4.74
DRDR,RRDD,2,1.767,3.767,3.767
DRDD,RRDD,2,1.827,3.827,3.827
DRRD,RRDD,2,1.799,3.799,3.799
DRRR,RRDD,2,1.825,3.825,3.825
DDRD,RRDD,2,1.879,3.879,3.879
DDRR,RRDD,2,1.855,3.855,3.855
DDDR,RRDD,2,1.865,3.865,3.865
DDDD,RRDD,2,1.802,3.802,3.802
RDRD,RRDD,2.578,1.869,4.447,4.447
RDRR,RRDD,2.557,1.963,4.52,4.52
RDDR,RRDD,2.476,1.876,4.352,4.352
RDDD,RRDD,2.485,1.739,4.224,4.224
RRDR,RRDD,2.81,1.909,4.719,4.719
RRDD,RRDD,2.639,1.839,4.478,4.478
RRRD,RRDD,2.933,1.863,4.795999999999999,4.795999999999999
RRRR,RRDD,2.963,2.015,4.978,4.978
DRDR,RRRD,2,2.027,4.027,4.027
DRDD,RRRD,2,1.973,3.973,3.973
DRRD,RRRD,2,1.906,3.9059999999999997,3.9059999999999997
DRRR,RRRD,2,2.163,4.163,4.163
DDRD,RRRD,2,1.871,3.871,3.871
DDRR,RRRD,2,1.861,3.8609999999999998,3.8609999999999998
DDDR,RRRD,2,2.003,4.003,4.003
DDDD,RRRD,2,2.036,4.036,4.036
RDRD,RRRD,2.527,1.967,4.494,4.494
RDRR,RRRD,2.527,1.972,4.4990000000000006,4.4990000000000006
RDDR,RRRD,2.56,1.866,4.426,4.426
RDDD,RRRD,2.536,1.9,4.436,4.436
RRDR,RRRD,2.734,1.882,4.616,4.616
RRDD,RRRD,2.838,1.889,4.727,4.727
RRRD,RRRD,2.809,1.933,4.742,4.742
RRRR,RRRD,3.021,1.848,4.869,4.869
DRDR,RRRR,2,1.934,3.934,3.934
DRDD,RRRR,2,1.79,3.79,3.79
DRRD,RRRR,2,1.864,3.864,3.864
DRRR,RRRR,2,1.918,3.918,3.918
DDRD,RRRR,2,1.998,3.998,3.998
DDRR,RRRR,2,1.844,3.8440000000000003,3.8440000000000003
DDDR,RRRR,2,1.874,3.874,3.874
DDDD,RRRR,2,1.838,3.838,3.838
RDRD,RRRR,2.503,1.746,4.2490000000000006,4.2490000000000006
RDRR,RRRR,2.512,1.898,4.41,4.41
RDDR,RRRR,2.527,1.734,4.261,4.261
RDDD,RRRR,2.506,1.916,4.422,4.422
RRDR,RRRR,2.701,1.792,4.493,4.493
RRDD,RRRR,2.715,1.86,4.575,4.575
RRRD,RRRR,2.863,1.858,4.721,4.721
RRRR,RRRR,2.928,1.878,4.806,4.806
